gene_name,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
Nckap1,P28660,NCKP1_MOUSE,reviewed,Nck-associated protein 1 (NAP 1) (Brain protein H19) (MH19) (Membrane-associated protein HEM-2) (p125Nap1),Nckap1 Hem2 Kiaa0587 Nap1,Mus musculus (Mouse),1128
Ctnnd1,P30999,CTND1_MOUSE,reviewed,Catenin delta-1 (Cadherin-associated Src substrate) (CAS) (p120 catenin) (p120(ctn)) (p120(cas)),Ctnnd1 Catns Kiaa0384,Mus musculus (Mouse),938
Zdhhc5,Q8VDZ4,ZDHC5_MOUSE,reviewed,Palmitoyltransferase ZDHHC5 (EC 2.3.1.225) (Zinc finger DHHC domain-containing protein 5) (DHHC-5),Zdhhc5 Kiaa1748,Mus musculus (Mouse),715
Ptprj,Q64455,PTPRJ_MOUSE,reviewed,Receptor-type tyrosine-protein phosphatase eta (Protein-tyrosine phosphatase eta) (R-PTP-eta) (EC 3.1.3.48) (HPTP beta-like tyrosine phosphatase) (Protein-tyrosine phosphatase receptor type J) (R-PTP-J) (Susceptibility to colon cancer 1) (CD antigen CD148),Ptprj Byp Scc1,Mus musculus (Mouse),1238
Madd,Q80U28,MADD_MOUSE,reviewed,MAP kinase-activating death domain protein (Rab3 GDP/GTP exchange factor),Madd Kiaa0358,Mus musculus (Mouse),1577
Cry2,Q9R194,CRY2_MOUSE,reviewed,Cryptochrome-2,Cry2 Kiaa0658,Mus musculus (Mouse),592
Slc35c1,Q8BLX4,FUCT1_MOUSE,reviewed,GDP-fucose transporter 1 (Solute carrier family 35 member C1),Slc35c1 Fuct1,Mus musculus (Mouse),363
Cd82,P40237,CD82_MOUSE,reviewed,CD82 antigen (C33 antigen) (IA4) (Inducible membrane protein R2) (Metastasis suppressor Kangai-1 homolog) (CD antigen CD82),Cd82 Kai1,Mus musculus (Mouse),266
Alkbh3,Q8K1E6,ALKB3_MOUSE,reviewed,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3 (EC 1.14.11.54) (Alkylated DNA repair protein alkB homolog 3) (mAbh3),Alkbh3 Abh3,Mus musculus (Mouse),286
Hsd17b12,O70503,DHB12_MOUSE,reviewed,Very-long-chain 3-oxoacyl-CoA reductase (EC 1.1.1.330) (17-beta-hydroxysteroid dehydrogenase 12) (17-beta-HSD 12) (3-ketoacyl-CoA reductase) (KAR) (Estradiol 17-beta-dehydrogenase 12) (EC 1.1.1.62) (KIK-I),Hsd17b12 Kik1,Mus musculus (Mouse),312
Ttc17,E9PVB5,TTC17_MOUSE,reviewed,Tetratricopeptide repeat protein 17 (TPR repeat protein 17),Ttc17,Mus musculus (Mouse),1198
Ehf,O70273,EHF_MOUSE,reviewed,ETS homologous factor (ETS domain-containing transcription factor),Ehf,Mus musculus (Mouse),300
Ino80,Q6ZPV2,INO80_MOUSE,reviewed,Chromatin-remodeling ATPase INO80 (EC 3.6.4.-) (DNA helicase-related INO80 complex homolog 1) (DNA helicase-related protein INO80),Ino80 Inoc1 Kiaa1259,Mus musculus (Mouse),1559
Zfp106,O88466,ZN106_MOUSE,reviewed,Zinc finger protein 106 (Zfp-106) (H3a minor histocompatibility antigen) (Son of insulin receptor mutant) (Zinc finger protein 474),Znf106 H3a Sh3bp3 Sirm Zfp106 Znf474,Mus musculus (Mouse),1888
Slc30a4,O35149,ZNT4_MOUSE,reviewed,Zinc transporter 4 (ZnT-4) (Lethal milk protein) (Solute carrier family 30 member 4),Slc30a4 Lm Znt4,Mus musculus (Mouse),430
Secisbp2l,Q6A098,SBP2L_MOUSE,reviewed,Selenocysteine insertion sequence-binding protein 2-like (SECIS-binding protein 2-like),Secisbp2l Kiaa0256,Mus musculus (Mouse),1086
Sppl2a,Q9JJF9,SPP2A_MOUSE,reviewed,Signal peptide peptidase-like 2A (SPP-like 2A) (SPPL2a) (EC 3.4.23.-) (Intramembrane protease 3) (IMP-3) (Presenilin-like protein 2),Sppl2a Imp3 Psl2 MNCb-3763,Mus musculus (Mouse),523
Mall,Q91X49,MALL_MOUSE,reviewed,MAL-like protein (Protein BENE),Mall Bene,Mus musculus (Mouse),154
Gpcpd1,Q8C0L9,GPCP1_MOUSE,reviewed,Glycerophosphocholine phosphodiesterase GPCPD1 (EC 3.1.4.2) (Glycerophosphodiester phosphodiesterase 5) (Preimplantation protein 4),Gpcpd1 Gde5 Kiaa1434 Prei4,Mus musculus (Mouse),675
Flrt3,Q8BGT1,FLRT3_MOUSE,reviewed,Leucine-rich repeat transmembrane protein FLRT3 (Fibronectin leucine rich transmembrane protein 3),Flrt3 Kiaa1469,Mus musculus (Mouse),649
Crnkl1,P63154,CRNL1_MOUSE,reviewed,Crooked neck-like protein 1 (Crooked neck homolog),Crnkl1,Mus musculus (Mouse),690
Ralgapa2,A3KGS3,RGPA2_MOUSE,reviewed,Ral GTPase-activating protein subunit alpha-2 (250 kDa substrate of Akt) (AS250) (P220),Ralgapa2 Kiaa1272,Mus musculus (Mouse),1872
Nol4l,Q6DIB4,NOL4L_MOUSE,reviewed,Nucleolar protein 4-like,Nol4l,Mus musculus (Mouse),494
Eif6,O55135,IF6_MOUSE,reviewed,Eukaryotic translation initiation factor 6 (eIF-6) (B4 integrin interactor) (CAB) (p27(BBP)),Eif6 Itgb4bp,Mus musculus (Mouse),245
Blcap,P62951,BLCAP_MOUSE,reviewed,Bladder cancer-associated protein (Bladder cancer 10 kDa protein) (Bc10),Blcap Bc10,Mus musculus (Mouse),87
Serinc3,Q9QZI9,SERC3_MOUSE,reviewed,Serine incorporator 3 (Axotomy-induced glyco/Golgi protein 1) (AIGP-1) (Axotomy-induced glycoprotein 1) (Membrane protein TMS-1) (Tumor differentially expressed protein 1),Serinc3 Aigp1 Diff33 Tde1 Tms1,Mus musculus (Mouse),472
Slpi,P97430,SLPI_MOUSE,reviewed,Antileukoproteinase (ALP) (Secretory leukocyte protease inhibitor),Slpi,Mus musculus (Mouse),131
Sdc4,O35988,SDC4_MOUSE,reviewed,Syndecan-4 (SYND4) (Ryudocan core protein),Sdc4,Mus musculus (Mouse),198
Znfx1,Q8R151,ZNFX1_MOUSE,reviewed,NFX1-type zinc finger-containing protein 1,Znfx1,Mus musculus (Mouse),1909
B4galt5,Q9JMK0,B4GT5_MOUSE,reviewed,"Beta-1,4-galactosyltransferase 5 (Beta-1,4-GalTase 5) (Beta4Gal-T5) (b4Gal-T5) (EC 2.4.1.-) (Beta-1,4-GalT II) (Glucosylceramide beta-1,4-galactosyltransferase) (EC 2.4.1.274) (Lactosylceramide synthase) (LacCer synthase) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 5) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 5)",B4galt5 Bgt-5,Mus musculus (Mouse),388
Spata2,Q8K004,SPAT2_MOUSE,reviewed,Spermatogenesis-associated protein 2,Spata2,Mus musculus (Mouse),515
Atp9a,O70228,ATP9A_MOUSE,reviewed,Probable phospholipid-transporting ATPase IIA (EC 7.6.2.1) (ATPase class II type 9A),Atp9a,Mus musculus (Mouse),1047
Zbp1,Q9QY24,ZBP1_MOUSE,reviewed,Z-DNA-binding protein 1 (DNA-dependent activator of IFN-regulatory factors) (DAI) (Tumor stroma and activated macrophage protein DLM-1),Zbp1 Dlm1,Mus musculus (Mouse),411
Atp5e,P56382,ATP5E_MOUSE,reviewed,"ATP synthase subunit epsilon, mitochondrial (ATPase subunit epsilon) (ATP synthase F1 subunit epsilon)",Atp5f1e Atp5e,Mus musculus (Mouse),52
Helz2,E9QAM5,HELZ2_MOUSE,reviewed,Helicase with zinc finger domain 2 (EC 3.6.4.-) (PPAR-gamma DNA-binding domain-interacting protein 1) (PDIP1) (PPAR-gamma DBD-interacting protein 1),Helz2,Mus musculus (Mouse),2947
Gmeb2,P58929,GMEB2_MOUSE,reviewed,Glucocorticoid modulatory element-binding protein 2 (GMEB-2),Gmeb2,Mus musculus (Mouse),530
Zc2hc1a,Q8BJH1,ZC21A_MOUSE,reviewed,Zinc finger C2HC domain-containing protein 1A,Zc2hc1a Fam164a,Mus musculus (Mouse),324
Chmp4c,Q9D7F7,CHM4C_MOUSE,reviewed,Charged multivesicular body protein 4c (Chromatin-modifying protein 4c) (CHMP4c),Chmp4c,Mus musculus (Mouse),232
Car2,P00920,CAH2_MOUSE,reviewed,Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase II) (CA-II),Ca2 Car2,Mus musculus (Mouse),260
Mtfr1,Q99MB2,MTFR1_MOUSE,reviewed,Mitochondrial fission regulator 1 (Chondrocyte protein with a poly-proline region),Mtfr1 Chppr Kiaa0009,Mus musculus (Mouse),328
Skil,Q60665,SKIL_MOUSE,reviewed,Ski-like protein (Ski-related oncogene) (Ski-related protein),Skil Skir Sno,Mus musculus (Mouse),675
Mfn1,Q811U4,MFN1_MOUSE,reviewed,Mitofusin-1 (EC 3.6.5.-) (Transmembrane GTPase MFN1),Mfn1,Mus musculus (Mouse),741
Noct,O35710,NOCT_MOUSE,reviewed,Nocturnin (EC 3.1.3.-) (Carbon catabolite repression 4-like protein),Noct Ccr4 Ccrn4l Noc,Mus musculus (Mouse),429
Proser1,Q5PRE5,PRSR1_MOUSE,reviewed,Proline and serine-rich protein 1,Proser1,Mus musculus (Mouse),913
Supt20,Q7TT00,SP20H_MOUSE,reviewed,Transcription factor SPT20 homolog (p38-interacting protein) (p38IP),Supt20h D3Ertd300e Fam48a Supt20,Mus musculus (Mouse),530
Spg20,Q8R1X6,SPART_MOUSE,reviewed,Spartin,Spart Kiaa0610 Spg20,Mus musculus (Mouse),671
Mbnl1,Q9JKP5,MBNL1_MOUSE,reviewed,Muscleblind-like protein 1 (Triplet-expansion RNA-binding protein),Mbnl1 Exp Mbnl,Mus musculus (Mouse),341
Rap2b,P61226,RAP2B_MOUSE,reviewed,Ras-related protein Rap-2b,Rap2b,Mus musculus (Mouse),183
Gfm1,Q8K0D5,EFGM_MOUSE,reviewed,"Elongation factor G, mitochondrial (EF-Gmt) (Elongation factor G 1, mitochondrial) (mEF-G 1) (Elongation factor G1)",Gfm1 Efg Efg1 Gfm,Mus musculus (Mouse),751
Mef2d,Q63943,MEF2D_MOUSE,reviewed,Myocyte-specific enhancer factor 2D,Mef2d,Mus musculus (Mouse),514
Glmp,Q9JHJ3,GLMP_MOUSE,reviewed,Glycosylated lysosomal membrane protein (Lysosomal protein NCU-G1),Glmp,Mus musculus (Mouse),404
Tpm3,P21107,TPM3_MOUSE,reviewed,Tropomyosin alpha-3 chain (Gamma-tropomyosin) (Tropomyosin-3),Tpm3 Tpm-5 Tpm5,Mus musculus (Mouse),285
Crtc2,Q3U182,CRTC2_MOUSE,reviewed,CREB-regulated transcription coactivator 2 (Transducer of regulated cAMP response element-binding protein 2) (TORC-2) (Transducer of CREB protein 2),Crtc2 Torc2,Mus musculus (Mouse),692
S100a14,Q9D2Q8,S10AE_MOUSE,reviewed,Protein S100-A14 (S100 calcium-binding protein A14) (S114),S100a14 Gm1020 S100a15,Mus musculus (Mouse),104
S100a16,Q9D708,S10AG_MOUSE,reviewed,Protein S100-A16 (Protein S100F) (S100 calcium binding protein A16),S100a16,Mus musculus (Mouse),124
Sprr2a1,Q9CQK8,SPR2A_MOUSE,reviewed,Small proline-rich protein 2A1 (small proline-rich protein 2A),Sprr2a1 Sprr2a,Mus musculus (Mouse),83
Sprr2a3,Q4KL71,SP2A3_MOUSE,reviewed,Small proline-rich protein 2A3,Sprr2a3,Mus musculus (Mouse),83
Sprr2b,O70554,SPR2B_MOUSE,reviewed,Small proline-rich protein 2B,Sprr2b,Mus musculus (Mouse),98
Selenbp1,P17563,SBP1_MOUSE,reviewed,Methanethiol oxidase (MTO) (EC 1.8.3.4) (56 kDa selenium-binding protein) (SBP56) (SP56) (Selenium-binding protein 1),Selenbp1 Lpsb,Mus musculus (Mouse),472
Pi4kb,Q8BKC8,PI4KB_MOUSE,reviewed,Phosphatidylinositol 4-kinase beta (PI4K-beta) (PI4Kbeta) (PtdIns 4-kinase beta) (EC 2.7.1.67),Pi4kb Pik4cb,Mus musculus (Mouse),816
Ctss,O70370,CATS_MOUSE,reviewed,Cathepsin S (EC 3.4.22.27),Ctss Cats,Mus musculus (Mouse),340
Mcl1,P97287,MCL1_MOUSE,reviewed,Induced myeloid leukemia cell differentiation protein Mcl-1 homolog (Bcl-2-related protein EAT/mcl1),Mcl1,Mus musculus (Mouse),331
Otud7b,B2RUR8,OTU7B_MOUSE,reviewed,OTU domain-containing protein 7B (EC 3.4.19.12) (Cellular zinc finger anti-NF-kappa-B protein) (Zinc finger A20 domain-containing protein 1) (Zinc finger protein Cezanne),Otud7b,Mus musculus (Mouse),840
Txnip,Q8BG60,TXNIP_MOUSE,reviewed,Thioredoxin-interacting protein (Vitamin D3 up-regulated protein 1),Txnip Vdup1,Mus musculus (Mouse),397
Hmgcs2,P54869,HMCS2_MOUSE,reviewed,"Hydroxymethylglutaryl-CoA synthase, mitochondrial (HMG-CoA synthase) (EC 2.3.3.10) (3-hydroxy-3-methylglutaryl coenzyme A synthase)",Hmgcs2,Mus musculus (Mouse),508
Nras,P08556,RASN_MOUSE,reviewed,GTPase NRas (Transforming protein N-Ras),Nras,Mus musculus (Mouse),189
Slc16a1,P53986,MOT1_MOUSE,reviewed,Monocarboxylate transporter 1 (MCT 1) (Solute carrier family 16 member 1),Slc16a1 Mct1,Mus musculus (Mouse),493
Rhoc,Q62159,RHOC_MOUSE,reviewed,Rho-related GTP-binding protein RhoC (Silica-induced gene 61 protein) (SIG-61),Rhoc Arhc,Mus musculus (Mouse),193
Eps8l3,Q91WL0,ES8L3_MOUSE,reviewed,Epidermal growth factor receptor kinase substrate 8-like protein 3 (EPS8-like protein 3) (Epidermal growth factor receptor pathway substrate 8-related protein 3) (EPS8-related protein 3),Eps8l3 Eps8r3,Mus musculus (Mouse),600
Sort1,Q6PHU5,SORT_MOUSE,reviewed,Sortilin (Neurotensin receptor 3) (NTR3) (mNTR3),Sort1,Mus musculus (Mouse),825
Fabp2,P55050,FABPI_MOUSE,reviewed,"Fatty acid-binding protein, intestinal (Fatty acid-binding protein 2) (Intestinal-type fatty acid-binding protein) (I-FABP)",Fabp2 Fabpi,Mus musculus (Mouse),132
Adh1,P00329,ADH1_MOUSE,reviewed,Alcohol dehydrogenase 1 (EC 1.1.1.1) (ADH-A2) (Alcohol dehydrogenase A subunit),Adh1 Adh-1,Mus musculus (Mouse),375
Ddah1,Q9CWS0,DDAH1_MOUSE,reviewed,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1 (DDAH-1) (Dimethylarginine dimethylaminohydrolase 1) (EC 3.5.3.18) (DDAHI) (Dimethylargininase-1)",Ddah1,Mus musculus (Mouse),285
Tpd52,Q62393,TPD52_MOUSE,reviewed,Tumor protein D52 (mD52),Tpd52,Mus musculus (Mouse),224
Slc10a5,Q5PT54,NTCP5_MOUSE,reviewed,Sodium/bile acid cotransporter 5 (Na(+)/bile acid cotransporter 5) (Solute carrier family 10 member 5),Slc10a5 Gm405,Mus musculus (Mouse),434
Car1,P13634,CAH1_MOUSE,reviewed,Carbonic anhydrase 1 (EC 4.2.1.1) (Carbonate dehydratase I) (Carbonic anhydrase I) (CA-I),Ca1 Car1,Mus musculus (Mouse),261
Armc1,Q9D7A8,ARMC1_MOUSE,reviewed,Armadillo repeat-containing protein 1,Armc1,Mus musculus (Mouse),282
Gyg,Q9R062,GLYG_MOUSE,reviewed,Glycogenin-1 (GN-1) (GN1) (EC 2.4.1.186),Gyg1 Gyg,Mus musculus (Mouse),333
Fndc3b,Q6NWW9,FND3B_MOUSE,reviewed,Fibronectin type III domain-containing protein 3B (Factor for adipocyte differentiation 104) (HCV NS5A-binding protein 37),Fndc3b Fad104 Kiaa4164 Ns5abp37,Mus musculus (Mouse),1207
Mecom,P14404,MECOM_MOUSE,reviewed,Histone-lysine N-methyltransferase MECOM (EC 2.1.1.-) (Ecotropic virus integration site 1 protein) (EVI-1) (MDS1 and EVI1 complex locus protein) (Myelodysplasia syndrome 1 protein homolog),Mecom Evi1 Mds1 Prdm3,Mus musculus (Mouse),1232
Phc3,Q8CHP6,PHC3_MOUSE,reviewed,Polyhomeotic-like protein 3,Phc3,Mus musculus (Mouse),981
Ccna2,P51943,CCNA2_MOUSE,reviewed,Cyclin-A2 (Cyclin-A),Ccna2 Ccna Cyca Cyca2,Mus musculus (Mouse),422
Cog6,Q8R3I3,COG6_MOUSE,reviewed,Conserved oligomeric Golgi complex subunit 6 (COG complex subunit 6) (Component of oligomeric Golgi complex 6),Cog6 Kiaa1134,Mus musculus (Mouse),657
Nhlrc3,Q8CCH2,NHLC3_MOUSE,reviewed,NHL repeat-containing protein 3,Nhlrc3,Mus musculus (Mouse),347
Slc33a1,Q99J27,ACATN_MOUSE,reviewed,Acetyl-coenzyme A transporter 1 (AT-1) (Acetyl-CoA transporter 1) (Solute carrier family 33 member 1),Slc33a1 Acatn,Mus musculus (Mouse),550
Ssr3,Q9DCF9,SSRG_MOUSE,reviewed,Translocon-associated protein subunit gamma (TRAP-gamma) (Signal sequence receptor subunit gamma) (SSR-gamma),Ssr3,Mus musculus (Mouse),185
Sptssb,Q925E8,SPTSB_MOUSE,reviewed,Serine palmitoyltransferase small subunit B (Protein ADMP) (Small subunit of serine palmitoyltransferase B) (ssSPTb),Sptssb Admp Sssptb,Mus musculus (Mouse),76
Pdcd10,Q8VE70,PDC10_MOUSE,reviewed,Programmed cell death protein 10 (TF-1 cell apoptosis-related protein 15),Pdcd10 Tfar15,Mus musculus (Mouse),212
"Narf,Trim2",Q9ESN6,TRIM2_MOUSE,reviewed,Tripartite motif-containing protein 2 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRIM2) (Neural activity-related RING finger protein) (RING-type E3 ubiquitin transferase TRIM2),Trim2 Kiaa0517 Narf,Mus musculus (Mouse),744
Fhdc1,Q3ULZ2,FHDC1_MOUSE,reviewed,FH2 domain-containing protein 1 (Inverted formin-1),Fhdc1 Inf1 Kiaa1727,Mus musculus (Mouse),1149
Fam160a1,Q505K2,F16A1_MOUSE,reviewed,Protein FAM160A1,Fam160a1,Mus musculus (Mouse),1081
Sema4a,Q62178,SEM4A_MOUSE,reviewed,Semaphorin-4A (Semaphorin-B) (Sema B),Sema4a Semab SemB,Mus musculus (Mouse),760
Lmna,P48678,LMNA_MOUSE,reviewed,Prelamin-A/C [Cleaved into: Lamin-A/C],Lmna Lmn1,Mus musculus (Mouse),665
Efna1,P52793,EFNA1_MOUSE,reviewed,"Ephrin-A1 (EPH-related receptor tyrosine kinase ligand 1) (LERK-1) (Immediate early response protein B61) [Cleaved into: Ephrin-A1, secreted form]",Efna1 Epgl1 Epl1 Lerk1,Mus musculus (Mouse),205
Zbtb7b,Q64321,ZBT7B_MOUSE,reviewed,Zinc finger and BTB domain-containing protein 7B (Krueppel-related zinc finger protein cKrox) (c-Krox) (T-helper-inducing POZ/Krueppel-like factor) (Zinc finger protein 67) (Zfp-67) (Zinc finger protein Th-POK),Zbtb7b Thpok Zfp67,Mus musculus (Mouse),544
S100a1,P56565,S10A1_MOUSE,reviewed,Protein S100-A1 (S-100 protein alpha chain) (S-100 protein subunit alpha) (S100 calcium-binding protein A1),S100a1,Mus musculus (Mouse),94
Sprr1a,Q62266,SPR1A_MOUSE,reviewed,Cornifin-A (Small proline-rich protein 1A) (SPR1 A) (SPR1A),Sprr1a,Mus musculus (Mouse),144
Snx27,Q3UHD6,SNX27_MOUSE,reviewed,Sorting nexin-27,Snx27 Kiaa0488,Mus musculus (Mouse),539
Rprd2,Q6NXI6,RPRD2_MOUSE,reviewed,Regulation of nuclear pre-mRNA domain-containing protein 2,Rprd2 Kiaa0460,Mus musculus (Mouse),1469
Hsd3b3,P26150,3BHS3_MOUSE,reviewed,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 3 (3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type III) (3-beta-HSD III) [Includes: 3-beta-hydroxy-Delta(5)-steroid dehydrogenase (EC 1.1.1.145) (3-beta-hydroxy-5-ene steroid dehydrogenase) (Progesterone reductase); Steroid Delta-isomerase (EC 5.3.3.1) (Delta-5-3-ketosteroid isomerase)],Hsd3b3,Mus musculus (Mouse),373
Hao2,Q9NYQ2,HAOX2_MOUSE,reviewed,"Hydroxyacid oxidase 2 (HAOX2) (EC 1.1.3.15) ((S)-2-hydroxy-acid oxidase, peroxisomal) (Medium chain alpha-hydroxy acid oxidase) (Medium-chain L-2-hydroxy acid oxidase)",Hao2 Hao3 Haox2,Mus musculus (Mouse),353
Ptgfrn,Q9WV91,FPRP_MOUSE,reviewed,Prostaglandin F2 receptor negative regulator (CD9 partner 1) (CD9P-1) (Glu-Trp-Ile EWI motif-containing protein F) (EWI-F) (Prostaglandin F2-alpha receptor regulatory protein) (Prostaglandin F2-alpha receptor-associated protein) (CD antigen CD315),Ptgfrn Fprp,Mus musculus (Mouse),879
Atp1a1,Q8VDN2,AT1A1_MOUSE,reviewed,Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit) (EC 7.2.2.13) (Sodium pump subunit alpha-1),Atp1a1,Mus musculus (Mouse),1023
Magi3,Q9EQJ9,MAGI3_MOUSE,reviewed,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3 (Membrane-associated guanylate kinase inverted 3) (MAGI-3)",Magi3 Kiaa1634,Mus musculus (Mouse),1476
Mov10,P23249,MOV10_MOUSE,reviewed,Putative helicase MOV-10 (EC 3.6.4.13) (Moloney leukemia virus 10 protein),Mov10 Gb110,Mus musculus (Mouse),1004
Cept1,Q8BGS7,CEPT1_MOUSE,reviewed,Choline/ethanolaminephosphotransferase 1 (mCEPT1) (EC 2.7.8.1) (EC 2.7.8.2),Cept1,Mus musculus (Mouse),416
Gnai3,Q9DC51,GNAI3_MOUSE,reviewed,Guanine nucleotide-binding protein G(i) subunit alpha (G(i) alpha-3),Gnai3,Mus musculus (Mouse),354
Fam102b,Q8BQS4,F102B_MOUSE,reviewed,Protein FAM102B,Fam102b,Mus musculus (Mouse),339
Mfsd14a,P70187,MF14A_MOUSE,reviewed,Hippocampus abundant transcript 1 protein (Major facilitator superfamily domain-containing 14A),Mfsd14a Hiat1,Mus musculus (Mouse),490
Abcd3,P55096,ABCD3_MOUSE,reviewed,ATP-binding cassette sub-family D member 3 (68 kDa peroxisomal membrane protein) (PMP68) (70 kDa peroxisomal membrane protein) (PMP70),Abcd3 Pmp70 Pxmp1,Mus musculus (Mouse),659
Ostc,Q78XF5,OSTC_MOUSE,reviewed,Oligosaccharyltransferase complex subunit OSTC,Ostc,Mus musculus (Mouse),149
Tet2,Q4JK59,TET2_MOUSE,reviewed,Methylcytosine dioxygenase TET2 (EC 1.14.11.n2) (Protein Ayu17-449),Tet2 Kiaa1546,Mus musculus (Mouse),1912
Sh3glb1,Q9JK48,SHLB1_MOUSE,reviewed,Endophilin-B1 (SH3 domain-containing GRB2-like protein B1),Sh3glb1 Kiaa0491,Mus musculus (Mouse),365
Clca4a,Q6Q473,CLA4A_MOUSE,reviewed,"Calcium-activated chloride channel regulator 4A (EC 3.4.-.-) (Calcium-activated chloride channel regulator 6) (mClca6) [Cleaved into: Calcium-activated chloride channel regulator 4A, 110 kDa form; Calcium-activated chloride channel regulator 4A, 30 kDa form]",Clca4a Clca6,Mus musculus (Mouse),924
Clca1,Q9D7Z6,CLCA1_MOUSE,reviewed,Calcium-activated chloride channel regulator 1 (EC 3.4.-.-) (Calcium-activated chloride channel family member 3) (mCLCA3) (Protein gob-5),Clca1 Clca3 Gob5,Mus musculus (Mouse),913
Clca1,Q9QX15,CA3A1_MOUSE,reviewed,Calcium-activated chloride channel regulator 3A-1 (EC 3.4.-.-),Clca3a1 Clca1,Mus musculus (Mouse),902
Sdcbp,O08992,SDCB1_MOUSE,reviewed,Syntenin-1 (Scaffold protein Pbp1) (Syndecan-binding protein 1),Sdcbp,Mus musculus (Mouse),299
Trp53inp1,Q9QXE4,T53I1_MOUSE,reviewed,Tumor protein p53-inducible nuclear protein 1 (Stress-induced protein) (Thymus-expressed acidic protein) (TEAP) (p53-dependent damage-inducible nuclear protein 1) (p53DINP1),Trp53inp1 Sip,Mus musculus (Mouse),239
Cdh17,Q9R100,CAD17_MOUSE,reviewed,Cadherin-17 (BILL-cadherin) (Liver-intestine cadherin) (LI-cadherin) (P130),Cdh17,Mus musculus (Mouse),827
Ggh,Q9Z0L8,GGH_MOUSE,reviewed,Gamma-glutamyl hydrolase (EC 3.4.19.9) (Conjugase) (FGPH) (Folylpolyglutamate hydrolase) (GH) (Gamma-Glu-x carboxypeptidase),Ggh,Mus musculus (Mouse),317
Ccnc,Q62447,CCNC_MOUSE,reviewed,Cyclin-C,Ccnc,Mus musculus (Mouse),283
Bach2,P97303,BACH2_MOUSE,reviewed,Transcription regulator protein BACH2 (BTB and CNC homolog 2),Bach2,Mus musculus (Mouse),839
Ube2r2,Q6ZWZ2,UB2R2_MOUSE,reviewed,Ubiquitin-conjugating enzyme E2 R2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme R2) (Ubiquitin carrier protein R2) (Ubiquitin-conjugating enzyme E2-CDC34B) (Ubiquitin-protein ligase R2),Ube2r2 Cdc34b Ubc3b,Mus musculus (Mouse),238
Rgp1,Q8BHT7,RGP1_MOUSE,reviewed,RAB6A-GEF complex partner protein 2 (Retrograde Golgi transport protein RGP1 homolog),Rgp1 Kiaa0258,Mus musculus (Mouse),391
Dcaf10,A2AKB9,DCA10_MOUSE,reviewed,DDB1- and CUL4-associated factor 10 (WD repeat-containing protein 32),Dcaf10 Wdr32,Mus musculus (Mouse),566
Aldh1b1,Q9CZS1,AL1B1_MOUSE,reviewed,"Aldehyde dehydrogenase X, mitochondrial (EC 1.2.1.3) (Aldehyde dehydrogenase family 1 member B1)",Aldh1b1 Aldhx,Mus musculus (Mouse),519
Tdrd7,Q8K1H1,TDRD7_MOUSE,reviewed,Tudor domain-containing protein 7 (PCTAIRE2-binding protein) (Tudor repeat associator with PCTAIRE-2) (Trap),Tdrd7 Pctaire2bp,Mus musculus (Mouse),1086
Sec61b,Q9CQS8,SC61B_MOUSE,reviewed,Protein transport protein Sec61 subunit beta,Sec61b,Mus musculus (Mouse),96
Stx17,Q9D0I4,STX17_MOUSE,reviewed,Syntaxin-17,Stx17,Mus musculus (Mouse),301
Ugcg,O88693,CEGT_MOUSE,reviewed,Ceramide glucosyltransferase (EC 2.4.1.80) (GLCT-1) (Glucosylceramide synthase) (GCS) (UDP-glucose ceramide glucosyltransferase) (UDP-glucose:N-acylsphingosine D-glucosyltransferase),Ugcg,Mus musculus (Mouse),394
Lurap1l,Q8K2P1,LUR1L_MOUSE,reviewed,Leucine rich adaptor protein 1-like,Lurap1l D4Bwg0951e,Mus musculus (Mouse),221
Dennd4c,A6H8H2,DEN4C_MOUSE,reviewed,DENN domain-containing protein 4C,Dennd4c,Mus musculus (Mouse),1906
Mier1,Q5UAK0,MIER1_MOUSE,reviewed,Mesoderm induction early response protein 1 (Early response 1) (Er1) (Mi-er1),Mier1 Kiaa1610,Mus musculus (Mouse),511
Plpp3,Q99JY8,PLPP3_MOUSE,reviewed,Phospholipid phosphatase 3 (EC 3.1.3.-) (EC 3.1.3.4) (Lipid phosphate phosphohydrolase 3) (PAP2-beta) (Phosphatidate phosphohydrolase type 2b) (Phosphatidic acid phosphatase 2b) (PAP-2b) (PAP2b),Plpp3 Lpp3 Ppap2b,Mus musculus (Mouse),312
